_,Id,Order,Order.SaleNo__c,Order.OrderNo__c,Product2Id,IsDeleted,OrderId,PricebookEntryId,OriginalOrderItemId,AvailableQuantity,Quantity,UnitPrice,ListPrice,TotalPrice,ServiceDate,EndDate,Description,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,OrderItemNumber,OrderId__c,OrderSeqNo__c,SaleSeqNo__c,Status__c,DeleteDateTime__c,OrderItemNo__c,SaleItemNo__c,IsExclude__c,DiscountRate__c,NetSalesUnitPrice__c,StoreName__c,TotalAmount__c,OriginalOrderItemId__c,Field1__c
[OrderItem],802TJ00000R0LyEYAV,[Order],SAL202408070473,,01tJO000008R9WHYA0,False,801TJ00000oJzB7YAK,01uJO000001RCoRYAW,,1,1,608000,1370000,608000,,,,2026-04-19T16:14:50.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:14:50.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:14:50.000+0000,2435806,801TJ00000oIH9BYAW,,2,,,,SAL202408070473-2,False,,,롯데청량리점,1416000,,0
[OrderItem],802TJ00000Qzqy5YAB,[Order],SAL202310060141,,01tJO000008RCb1YAG,False,801TJ00000oIgWCYA0,01uJO000001RG65YAG,,1,1,85000,16560000,85000,,,,2026-04-19T15:50:53.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:50:53.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:50:53.000+0000,2327317,801TJ00000oIICOYA4,,1,,,,SAL202310060141-1,False,,,롯데청량리점,85000,,0
[OrderItem],802TJ00000Qzt3bYAB,[Order],SAL202310160227,,01tJO000008RBEcYAO,False,801TJ00000oKHiFYAW,01uJO000001RGLgYAO,,1,1,534000,2090000,534000,,,,2026-04-19T15:52:39.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:52:39.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:52:39.000+0000,2335747,801TJ00000oIICQYA4,,1,,,,SAL202310160227-1,False,,,신세계아울렛제주점,534000,,0
[OrderItem],802TJ00000R0xHQYAZ,[Order],SAL202603260042,,01tJO000008RDWsYAO,False,801TJ00000oJmIBYA0,01uJO000001RDKnYAO,,1,1,93000,1,93000,,,,2026-04-19T16:45:21.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:45:21.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:45:21.000+0000,2572820,801TJ00000oIJxUYAW,,2,,,,SAL202603260042-2,False,,,롯데노원점,167000,,0
[OrderItem],802TJ00000QzEuRYAV,[Order],SAL202308160216,,01tJO000008R64OYAS,False,801TJ00000oJzfLYAS,01uJO000001RAwuYAG,,1,1,1624000,6700000,1624000,,,,2026-04-19T15:19:18.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:19:18.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:19:18.000+0000,2188359,801TJ00000oIKQMYA4,,2,,,,SAL202308160216-2,False,,,롯데청량리점,2149000,,0
[OrderItem],802TJ00000QzdxfYAB,[Order],SAL202405170476,,01tJO000008RCb1YAG,False,801TJ00000oJEMtYAO,01uJO000001RG65YAG,,1,1,5570000,16560000,5570000,,,,2026-04-19T15:39:57.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:39:57.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:39:57.000+0000,2279627,801TJ00000oIKj4YAG,,1,,,,SAL202405170476-1,False,,,신세계아울렛제주점,7250000,,0
[OrderItem],802TJ00000QzdxgYAB,[Order],SAL202405170476,,01tJO000008QzU1YAK,False,801TJ00000oJEMtYAO,01uJO000001R2z5YAC,,1,1,1680000,4400000,1680000,,,,2026-04-19T15:39:57.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:39:57.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:39:57.000+0000,2279628,801TJ00000oIKj4YAG,,2,,,,SAL202405170476-2,False,,,신세계아울렛제주점,7250000,,0
[OrderItem],802TJ00000QzDypYAF,[Order],SAL202309050056,,01tJO000008R5nPYAS,False,801TJ00000oJkkMYAS,01uJO000001R6fYYAS,,1,1,4956000,8970000,4956000,,,,2026-04-19T15:18:36.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:18:36.000+0000,005TJ00000B2qU2YAJ,2026-04-19T15:18:36.000+0000,2184777,801TJ00000oIMV3YAO,,1,,,,SAL202309050056-1,False,,,신세계아울렛제주점,4956000,,0
[OrderItem],802TJ00000R0x68YAB,[Order],SAL202603240583,,01tJO000008R7Q0YAK,False,801TJ00000oK6ndYAC,01uJO000001RBClYAO,,1,1,576000,1060000,576000,,,,2026-04-19T16:45:13.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:45:13.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:45:14.000+0000,2572120,801TJ00000oINRfYAO,,1,,,,SAL202603240583-1,False,,,신세계아울렛제주점,1395200,,0
[OrderItem],802TJ00000R0x69YAB,[Order],SAL202603240583,,01tJO000008R1GzYAK,False,801TJ00000oK6ndYAC,01uJO000001R0YeYAK,,1,1,819200,1560000,819200,,,,2026-04-19T16:45:13.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:45:13.000+0000,005TJ00000B2qU2YAJ,2026-04-19T16:45:14.000+0000,2572121,801TJ00000oINRfYAO,,2,,,,SAL202603240583-2,False,,,신세계아울렛제주점,1395200,,0
